NUMBER	CONCEPTICON_GLOSS	CONCEPTICON_ID	ENGLISH	NEPALI
1	ABOVE	1741	Above	माथि
2	ALL	98	All	सबै
3	ANT	587	Ant	कमिला
4	ARM OR HAND	2121	Arm/Hand	हात
5	ASH	646	Ash	खरानी
6	AUBERGINE	1146	Eggplant	भन्टा
7	AXE	677	Axe	वन्चरो
8	BAD	1292	Bad	नराम्रो (खराव)
9	BANANA	868	Banana	केरा
10	BARLEY	932	Barley	जौ
11	BEAM	1132	Beam (main wooden beam)	निदाल
12	BEAR	1820	Bear	भालु
13	BE HUNGRY	1533	To be hungry	भोकाउनु
14	BELLY	1251	Belly	पेट
15	BIG	1202	Big	ठुलो
16	BITE	1403	To bite	टोक्नु
17	BLACK	163	Black	कालो
18	BLOOD	946	Blood	रगत
19	BOARD	1227	Plank	फल्याक
20	BODY	1480	Body	शरीर
21	BONE	1394	Bone	हाड
22	BOY	1366	Boy	केटो
23	BEARD	678	Beard	दाह्री
24	BREAD	1368	Bread	रोटी
25	BREAST	1402	Breast	स्तन
26	BROKEN	588	Broken	फुटेको
27	BROOM	245	Broom	कुचो
28	BUFFALO	934	Buffalo	भैँसी
29	BURN (SOMETHING)	141	To burn	डढाउनु
30	CABBAGE	774	Cabbage	बन्दा
31	CAULIFLOWER	2843	Cauliflower	काउली
32	CHEW	321	To chew	चपाउनु
33	CHICKEN	1318	Chicken	चल्ला
34	CHILD	2099	Child	बच्चा
35	CLOTH	1616	Cloth	लुगा (कपडा)
36	CLOUD	1489	Cloud	बादल
37	COLD	1287	Cold	चिसो
38	COME	1446	To come	आउनु
39	CORPSE	767	Corpse	लास
40	COW	1007	Cow	गाइ
41	DAUGHTER	1357	Daughter	छोरी
42	DAY (NOT NIGHT)	1225	Day	दिन
43	DIE	1494	To die	मर्नु
44	DIFFERENT	2504	Different	फरक
45	DOG	2009	Dog	कुकुर
46	DOOR	1567	Door	ढोका
47	BELOW OR UNDER	1485	Below	तल
48	DRINK	1401	To drink	पिउनु
49	DRY	1398	Dry	सुख्खा
50	DUNG (ANIMAL FAECES)	2057	Manure	मल
51	DUST	2	Dust	धुलो
52	EAR	1247	Ear	कान
53	EAT	1336	To eat	खानु
54	EGG	744	Egg	अन्डा
55	EIGHT	1705	Eight	आठ
56	ELBOW	981	Elbow	कुइनो
57	ELEVEN	1706	Eleven	एघार
58	EVENING	1629	Evening	साँझ
59	EYE	1248	Eye	आँखा
60	FACE	1560	Face	अनुहार
61	FAECES (EXCREMENT)	675	Faeces	दिसा
62	FAR	1406	Far	टाढा
63	FATHER	1217	Father	बुबा
64	FAT (FROM ANIMALS)	1282	Fat (of meat)	बोसो
65	FEW	1242	Few	थोरै
66	FINGER	1303	Finger	औँला
67	FINGERNAIL	1258	Fingernail	नङ
68	FIRE	221	Fire	आगो
69	FIREWOOD	10	Firewood	दाउरा
70	FISH	227	Fish	माछा
71	FIVE	493	Five	पाँच
72	FLOUR	1594	Flour (eaten as food)	पिठो
73	FLOWER	239	Flower	फूल
74	FLY (MOVE THROUGH AIR)	1441	To fly	उड्नु
75	FOUR	1500	Four	चार
76	FRUIT	1507	Fruit	फलफुल
77	GARLIC	2368	Garlic	लसुन
78	GHOST	1175	Ghost	भुत
79	GIRL	1646	Girl	केटी
80	GIVE	1447	To give	दिनु
81	GO	695	To go	जानु
82	GOAT	1502	Goat	बाख्रो
83	GOLD	1369	Gold	सुन
84	GOOD	1035	Good	राम्रो (असल)
85	GRAIN	605	Grains	अन्न
86	HAIL	609	Hailstone	असिना
87	HAIR	1040	Hair	कपाल
88	HAMMER	1481	Hammer	हथौडा
89	HANDLE	1254	Handle	बिँड
90	HE	1211	He	उ
91	HEAD	1256	Head	टाउको
92	HEART	1223	Heart	मुटु
93	HEAVY	1210	Heavy	गह्रौँ
94	HEEL	980	Heel	कुर्कुच्चो
95	HOLE	1667	Hole	प्वाल
96	HORN (ANATOMY)	1393	Horns	सिङ
97	HORSE	615	Horse	घोडा
98	HOT	1286	Hot	तातो
99	HOUSE	1252	House	घर
100	HOW MANY	822	How many	कति
101	HUNDRED	1634	One Hundred	एक सय
102	HUSBAND	1200	Husband	लोग्ने (श्रीमान)
103	I	1209	I	म
104	INTESTINES	1991	Intestine	आन्द्रा
105	JOIN	1743	Bond	तमसुक
106	KILL	1417	To kill	मार्नु
107	KNIFE	1352	Knife	चक्कु
108	LEAF	628	Leaf	पात
109	LEASH	2959	Rope used to tie animals	दाम्लो
110	LEFT	244	Left	देव्रे
111	LEG	1297	Leg	खुट्टा
112	LID (COVER, CAP)	2319	Lid (cover)	बिर्को
113	LIE (REST)	1411	To lie	पल्टनु
114	LIGHTNING	1654	Lightening	बिजुली चम्कनु
115	LIGHT (WEIGHT)	1052	Light	हलुका
116	HEAR	1408	To hear/listen	सुन्नु
117	LOAD	1679	Load	भारी
118	LONG	1203	Long	लामो
119	LOOK	1819	To look	हेर्नु
120	MAN	1554	Man	मान्छे
121	MANGO	2398	Mango	आँप
122	MANY	1198	Many	धेरै
123	MEASURE	1506	To measure	नाप्नु
124	MEAT	634	Meat	मासु
125	MILK	635	Milk	दुध
126	MONKEY	1350	Monkey	बाँदर
127	MONTH	1370	Month	महिना
128	MOON	1313	Moon	चन्द्रमा
129	MORNING	1339	Morning	विहान
130	MORTAR	224	Mortar	सिलौटो
131	MOSQUITO	1509	Mosquito	लामखुट्टे
132	MOTHER	1216	Mother	आमा
133	MOUTH	674	Mouth	मुख
134	MUD	640	Mud	माटो
135	NAME	1405	Name	नाम
136	NEAR	1942	Near	नजिक
137	NEEDLE (FOR SEWING)	1382	Needle	सियो
138	NEW	1231	New	नयाँ
139	NIGHT	1233	Night	रात
140	NINE	1483	Nine	नौ
141	MIDDAY	12	Noon	मध्यान्ह
142	NOSE	1221	Nose	नाक
143	CHILI PEPPER	919	Chilli	खुर्सानी
144	OIL (ORGANIC SUBSTANCE)	1484	Oil	तेल
145	OLD	1229	Old	पुरानो
146	OLDER BROTHER	1759	Older brother	दाजु
147	OLDER SISTER	1758	Older sister	दिदी
148	ONE	1493	One	एक
149	ONION	2366	Onion	प्याज
150	OVEN	1143	Oven	चुल्हो
151	PALM TREE	1181	Palm	हत्केला
152	PATH	2252	Path	बाटो
153	GROUNDNUT (PEANUT)	595	Groundnut	बदाम
154	PESTLE	225	Pestle	लोहोरो
155	PIG	1337	Pig	सुँगुर
156	PLOUGH	1921	To plough	जोत्नु
157	PLOUGH (INSTRUMENT)	2154	Plough (noun)	हलो
158	POTATO	593	Potato	आलु
159	RAINBOW	1733	Rainbow	इन्द्रेणी
160	RAIN (PRECIPITATION)	658	Rain	वर्षा
161	RED	156	Red	रातो
162	RICE	926	Rice (husked)	चामल
163	RIGHT	1019	Right	दाहिने
164	RING	1374	Ring	औँठी
165	RIVER	666	River	नदी
166	ROOF	769	Roof	छानो
167	ROOT	670	Root	जरा
168	ROPE	1218	Rope	डोरी
169	RUN	1519	To run	दौडिनु
170	SALT	1274	Salt	नुन
171	SAME	200	Same	उही
172	SAND	671	Sand	बालुवा
173	SEVEN	1704	Seven	सात
174	SHE	1834	She	उनी
175	SHORT	1645	Short	छोटो
176	SIT	1416	To sit	बस्नु
177	SIX	1703	Six	छ
178	SKIN	763	Skin	छाला
179	SKY	1732	Sky	आकास
180	SLEEP	1585	To sleep	सुत्नु
181	SMALL	1246	Small	सानो
182	SMOKE (EXHAUST)	778	Smoke	धुवाँ
183	SNAKE	730	Snake	सर्प (साँप)
184	SON	1620	Son	छोरो
185	SPADE	1176	Spade	कोदालो
186	SPEAK	1623	To speak	बोल्नु
187	SPIDER	843	Spider	माकुरो
188	STAR	1430	Star	तारा
189	STICK	1295	Stick	लठ्ठी
190	STONE	857	Stone	ढुङ्गा
191	SUN	1343	Sun	घाम
192	SWALLOW	897	To swallow	निल्नु
193	SWEAT (SUBSTANCE)	125	Sweat	पसिना
194	TAIL	1220	Tail	पुच्छर
195	TEN	1515	Ten	दश
196	THAT	78	That	त्यो
197			Those	ती
198	THEY	817	They	उनीहरु
199	BE THIRSTY	3474	To be thirsty	तिर्खाउनु
200			These	यी
201	THIS	1214	This	यो
202	THORN	124	Thorn	काँडो
203	THOU	1215	You (informal)	तँ
204	THREAD	1161	Thread	धागो
205	THREE	492	Three	तीन
206	THROW	1456	To throw	फ्याँक्नु
207	TODAY	1283	Today	आज
208	TOMATO	986	Tomato	गोलभेँडा
209	TOMORROW	1329	Tomorrow	भोली
210	TONGUE	1205	Tongue	जिब्रो
211	TOOTH	1380	Teeth	दाँत
212	TREE	906	Tree	रुख
213	TURMERIC	2842	Turmeric	बेसार
214	TWELVE	1707	Twelve	बाह्र
215	TWENTY	1710	Twenty	वीस
216	TWO	1498	Two	दुई
217			To uproot	उखेल्नु
218	URINE	1142	Urine	पिसाब
219	VILLAGE	930	Village	गाउँ
220	WALK	1443	To walk	हिँड्नु
221	WATER	948	Water	पानी
222	WEEK	1469	Week	हप्ता (साता)
223	WE (EXCLUSIVE)	1130	We (exclusive)	हामी (असमावेशी)
224	WE (INCLUSIVE)	1131	We (inclusive)	हामी (समावेशी)
225	WET	1726	Wet	चिसो
226	WHAT	1236	What	के
227	WHEAT	1077	Wheat (husked)	गहुँ
228	WHEN	1238	When	कहिले
229	WHERE	1237	Where	कहाँ
230	WHICH	727	Which	कुन
231	WHITE	1335	White	सेतो
232	WHO	1235	Who	को
233	WHOLE	2277	Whole	सबै
234	WIFE	1199	Wife	स्वास्नी (श्रीमती)
235	WIND	960	Wind	वतास
236	WOMAN	962	Woman	आइमाई
237	YARD	736	Yard	आँगन
238	YEAR	1226	Year	वर्ष
239	YESTERDAY	1174	Yesterday	हिजो
240	YOU	1213	You (plural)	तिमीहरु
241	YOU (FORMAL ADDRESS)	2844	You (formal)	तपाइँ
242	YOUNGER BROTHER	1760	Younger brother	भाइ
243	YOUNGER SISTER	1761	Younger sister	बहिनी
